"","DOP","date","Chemical","Dosage","Group_ID","Endpoint","value"
"5277","13","5/7/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",297.675
"5278","15","5/9/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",586.145454545455
"5279","20","5/14/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",619.11875
"5280","22","5/16/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",752.92
"5281","27","5/21/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",389.684615384615
"5282","29","5/23/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",410.592857142857
"5283","8","5/2/2024","Glyphosate","1","1_M05357_3","longestDistFromInitSite_mean_neuron",133.666666666667
"5284","13","5/7/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",456.913333333333
"5285","15","5/9/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",508.706666666667
"5286","20","5/14/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",404.916666666667
"5287","22","5/16/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",647.221052631579
"5288","27","5/21/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",551.8
"5289","29","5/23/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",544.81724137931
"5290","6","4/30/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",204.075
"5291","8","5/2/2024","Glyphosate","3","1_M05357_4","longestDistFromInitSite_mean_neuron",225.283333333333
"5292","13","5/7/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",221.061538461538
"5293","15","5/9/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",479.511111111111
"5294","20","5/14/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",651.26875
"5295","22","5/16/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",641.675
"5296","27","5/21/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",440.857894736842
"5297","29","5/23/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",598.127777777778
"5298","6","4/30/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",186
"5299","8","5/2/2024","Glyphosate","10","1_M05357_5","longestDistFromInitSite_mean_neuron",141.033333333333
"5300","13","5/7/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",295.944444444444
"5301","15","5/9/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",581.509090909091
"5302","20","5/14/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",417.594444444444
"5303","22","5/16/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",482.833333333333
"5304","27","5/21/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",274.309090909091
"5305","29","5/23/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",714.295
"5306","6","4/30/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",120.55
"5307","8","5/2/2024","Glyphosate","30","1_M05357_6","longestDistFromInitSite_mean_neuron",263.516666666667
"5308","13","5/7/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",801.3
"5309","15","5/9/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",699.5
"5310","20","5/14/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",819.033333333333
"5311","22","5/16/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",815.8
"5312","27","5/21/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",540.5
"5313","29","5/23/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",934.516666666667
"5314","8","5/2/2024","Loperamide","0.03","1_M04707_1","longestDistFromInitSite_mean_neuron",195.7
"5315","13","5/7/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",282.1
"5316","15","5/9/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",540.8
"5317","20","5/14/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",378.37
"5318","22","5/16/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",212.9
"5319","27","5/21/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",465.266666666667
"5320","29","5/23/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",262.62
"5321","8","5/2/2024","Loperamide","0.1","1_M04707_2","longestDistFromInitSite_mean_neuron",NA
"5322","13","5/7/2024","Loperamide","0.3","1_M04707_3","longestDistFromInitSite_mean_neuron",172.833333333333
"5323","15","5/9/2024","Loperamide","0.3","1_M04707_3","longestDistFromInitSite_mean_neuron",245
"5324","20","5/14/2024","Loperamide","0.3","1_M04707_3","longestDistFromInitSite_mean_neuron",151.88
"5325","29","5/23/2024","Loperamide","0.3","1_M04707_3","longestDistFromInitSite_mean_neuron",445.990909090909
"5326","13","5/7/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",515.975
"5327","15","5/9/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",435.669230769231
"5328","20","5/14/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",360.992307692308
"5329","22","5/16/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",458.842857142857
"5330","27","5/21/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",245.133333333333
"5331","29","5/23/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",389.618181818182
"5332","8","5/2/2024","Loperamide","0.03","1_M04707_4","longestDistFromInitSite_mean_neuron",155.833333333333
"5333","13","5/7/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",362.425
"5334","15","5/9/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",336.033333333333
"5335","20","5/14/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",559.163636363636
"5336","22","5/16/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",306.1
"5337","27","5/21/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",102
"5338","29","5/23/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",589.079166666667
"5339","8","5/2/2024","Loperamide","0.1","1_M04707_5","longestDistFromInitSite_mean_neuron",NA
"5340","13","5/7/2024","Loperamide","0.3","1_M04707_6","longestDistFromInitSite_mean_neuron",156.5
"5341","15","5/9/2024","Loperamide","0.3","1_M04707_6","longestDistFromInitSite_mean_neuron",413
"5342","20","5/14/2024","Loperamide","0.3","1_M04707_6","longestDistFromInitSite_mean_neuron",140
"5343","29","5/23/2024","Loperamide","0.3","1_M04707_6","longestDistFromInitSite_mean_neuron",996.933333333333
"5344","13","5/7/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",603.2125
"5345","15","5/9/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",390.382352941176
"5346","20","5/14/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",722.733333333333
"5347","22","5/16/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",487.005555555556
"5348","27","5/21/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",701.772413793103
"5349","29","5/23/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",911.083870967742
"5350","8","5/2/2024","Dieldrin","1","1_M04632_1","longestDistFromInitSite_mean_neuron",471.62
"5351","15","5/9/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",756.2625
"5352","20","5/14/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",572.657142857143
"5353","22","5/16/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",521.1
"5354","27","5/21/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",305.878571428571
"5355","29","5/23/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",483.630769230769
"5356","8","5/2/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",159.15
"5357","13","5/7/2024","Dieldrin","Control","1_M04632_2","longestDistFromInitSite_mean_neuron",NA
"5358","13","5/7/2024","Dieldrin","3","1_M04632_3","longestDistFromInitSite_mean_neuron",641.828571428571
